test_id,num_points,grid_size,cockayne_steiner,geosteiner_steiner,flute_steiner,cockayne_wirelength,geosteiner_wirelength,flute_wirelength,cockayne_time,geosteiner_time,flute_time
165,10,9297,8,8,8,24585,24585,24585,0.035625,0.000447,4e-06
166,10,9189,8,8,8,14591,14591,14591,0.028786,0.000196,5e-06
167,10,8803,8,8,8,21625,21625,21625,0.027859,0.00092,6e-06
168,10,9805,8,8,8,27192,27192,27192,0.029803,0.000236,1.1e-05
169,10,9659,8,8,8,29706,29706,29706,0.034801,0.000144,6e-06
170,10,9176,8,8,8,27077,27077,27195,0.036051,0.00018,5e-06
171,10,8403,8,8,8,23531,23531,23531,0.025791,0.000222,5e-06
172,10,8876,9,8,8,27932,27932,27951,0.032106,0.000197,4e-06
173,10,7086,8,8,8,20471,20471,20471,0.025503,0.000154,5e-06
174,10,7315,8,8,8,16294,16294,16294,0.029989,0.000163,5e-06
175,10,9713,8,8,8,30884,30884,30884,0.022124,0.000221,5e-06
176,10,9287,8,8,8,24576,24576,24576,0.027248,0.000112,5e-06
177,10,9538,8,8,8,21618,21618,21618,0.029472,0.000171,5e-06
178,10,9049,8,8,8,26079,26079,26079,0.04268,0.000284,4e-06
179,10,7042,8,8,8,20201,20201,20201,0.026764,0.000194,4e-06
180,10,8227,8,8,8,23558,23558,23558,0.029465,0.001,5e-06
181,10,9385,8,8,8,25095,25095,25095,0.031602,0.000202,5e-06
182,10,8175,8,8,8,22955,22955,22955,0.032659,0.000225,5e-06
183,10,8621,8,8,8,23544,23544,23544,0.032493,0.000208,5e-06
184,10,7958,8,8,8,20662,20662,20662,0.026225,0.000129,4e-06
185,10,9492,8,8,8,26493,26493,26493,0.041309,0.000261,4e-06
186,10,9533,8,8,8,24691,24691,24700,0.036369,0.000175,6e-06
187,10,9222,8,8,8,26888,26888,26888,0.033382,0.000214,4e-06
188,10,9180,8,8,8,25920,25920,25920,0.030409,0.000147,4e-06
189,10,9463,8,8,8,24164,24164,24164,0.035106,0.000157,7e-06
190,10,8892,8,8,8,23943,23943,23943,0.029416,0.000267,6e-06
191,10,9119,8,8,8,21350,21350,21350,0.028814,0.000104,4e-06
192,10,9069,9,8,8,19704,19704,19704,0.033778,0.000297,9e-06
193,10,8524,8,8,8,24971,24971,24971,0.024382,0.000143,5e-06
194,10,8623,8,8,8,22156,22156,22156,0.03239,0.000131,5e-06
195,10,7892,8,8,8,21054,21054,21054,0.023497,0.000134,5e-06
196,10,9154,8,8,8,23647,23647,23647,0.032243,0.000212,5e-06
197,10,7464,8,8,8,19630,19630,19630,0.024997,0.000136,5e-06
198,10,9746,8,8,8,27414,27414,27414,0.028644,0.00025,4e-06
199,10,8863,8,8,8,24643,24643,24643,0.041925,0.000218,5e-06
200,10,9068,8,8,8,19097,19097,19097,0.022405,0.0002,4e-06
201,10,8153,8,8,8,21807,21807,21807,0.034962,0.00022,5e-06
202,10,7433,8,8,8,20220,20220,20220,0.025988,0.000207,4e-06
203,10,8596,8,8,8,25004,25004,25004,0.029903,0.000304,6e-06
204,10,9489,8,8,8,25411,25411,25411,0.034945,0.000208,5e-06
205,10,7999,8,8,8,23142,23142,23142,0.03394,0.000122,5e-06
206,10,7577,8,8,8,19217,19217,19217,0.027764,0.000156,5e-06
207,10,8436,8,8,8,25510,25510,25510,0.038814,0.0002,4e-06
208,10,9424,8,8,8,26402,26402,26402,0.018091,0.000168,7e-06
209,10,9257,8,8,8,25857,25857,25857,0.03569,0.000228,6e-06
210,10,8649,8,8,8,27000,27000,27000,0.025417,0.000167,4e-06
211,10,8258,8,8,8,20793,20793,20793,0.035064,0.000106,5e-06
212,10,9466,8,8,8,27511,27511,27511,0.036424,0.000234,4e-06
213,10,8865,8,8,8,18907,18907,18907,0.018765,0.000152,4e-06
214,10,9619,8,8,8,26266,26266,26266,0.020905,0.000113,2e-06
215,10,8104,8,8,8,20729,20729,20729,0.028086,0.000141,5e-06
216,10,8557,8,8,8,21515,21515,21515,0.026011,9.5e-05,5e-06
217,10,9538,8,8,8,24177,24177,24177,0.036062,0.000347,5e-06
218,10,7196,8,8,8,16230,16230,16230,0.027861,0.000195,5e-06
219,10,9291,8,8,8,24170,24170,24170,0.034205,0.000161,4e-06
220,10,8163,8,8,8,20823,20823,20823,0.026371,0.000113,5e-06
221,10,8891,8,8,8,22262,22262,22262,0.035096,0.000118,4e-06
222,10,9786,8,8,8,28023,28023,28023,0.026065,0.000117,5e-06
223,10,9323,8,8,8,28751,28751,28751,0.026722,0.00102,5e-06
224,10,8037,8,8,8,22036,22036,22036,0.021418,0.000172,4e-06
225,10,9514,8,8,8,27816,27816,27816,0.035117,0.000139,5e-06
226,10,9267,8,8,8,20904,20904,20904,0.028832,0.000122,6e-06
227,10,8023,8,8,8,19687,19687,19687,0.017581,8.9e-05,3e-06
228,10,9655,8,8,8,25709,25709,25709,0.020286,8.8e-05,5e-06
229,10,9240,8,8,8,21478,21478,21478,0.017684,0.000165,2e-06
230,10,9393,8,8,8,29423,29423,29423,0.030932,0.000175,6e-06
231,10,9362,8,8,8,26963,26963,26963,0.038198,0.000219,4e-06
232,10,9486,8,8,8,27628,27628,27628,0.032568,0.00017,5e-06
233,10,8488,7,7,8,21775,21775,21775,0.024914,0.000135,5e-06
234,10,8891,8,8,8,22832,22832,22832,0.021235,0.000188,2e-06
235,10,9201,8,8,8,26743,26743,26743,0.029245,0.00066,4e-06
236,10,9329,8,8,8,25172,25172,25172,0.018484,0.000124,1e-06
237,10,9606,7,8,8,27642,27642,27642,0.026851,0.000231,4e-06
238,10,8393,8,8,8,21569,21569,21569,0.029298,0.000281,5e-06
239,10,6459,9,8,8,15297,15297,15297,0.034528,0.000145,1e-05
240,10,9136,8,8,8,25025,25025,25025,0.03426,0.000238,7e-06
241,10,9598,8,8,8,24648,24648,24648,0.029818,0.000219,2e-06
242,10,7521,8,8,8,17522,17522,17522,0.030047,0.000239,6e-06
243,10,8868,8,8,8,23612,23612,23612,0.041161,0.000141,6e-06
244,10,9552,8,8,8,24822,24822,24822,0.027947,0.000167,8e-06
245,10,8594,8,8,8,18803,18803,18803,0.024724,0.000141,6e-06
